x,y
1789,98
1789,98
1789,98
1789,98
1789,98
1789,98
1789,98
1779,113
1761,136
1739,166
1711,209
1680,266
1653,326
1631,379
1613,422
1602,446
1590,471
1577,484
1577,484
1577,484
1577,484
1577,484
1577,484
1577,484
1577,484
1577,484
1577,484
1577,484
1577,484
1577,484
1577,484
1577,484
1558,492
1523,501
1470,509
1411,512
1360,513
1330,514
1311,516
1300,516
1293,517
1289,518
1282,521
1274,524
1260,530
1241,541
1225,554
1206,569
1192,585
1182,601
1180,614
1183,629
1197,640
1232,642
1283,635
1361,624
1419,619
1490,617
1560,615
1606,612
1644,606
1671,600
1691,597
1705,597
1713,598
1718,602
1721,609
1720,621
1717,636
1709,651
1695,662
1685,669
1666,678
1643,685
1613,688
1573,689
1500,682
1358,658
1160,627
989,606
926,598
898,594
885,589
876,583
870,576
867,574
864,572
863,571
863,571
862,571
862,571
862,567
868,555
886,527
915,489
953,446
1002,395
1065,339
1112,298
1180,262
1261,244
1319,246
1343,249
1476,280
1512,298
1549,323
1580,349
1603,371
1615,384
1620,389
1619,393
1600,397
1532,392
1334,373
928,350
658,338
472,321
397,308
353,294
337,283
334,273
339,260
346,250
352,246
355,245
355,245
355,245
355,245
357,244
367,233
399,210
459,184
523,175
679,195
803,238
920,298
978,341
1012,373
1023,389
1024,400
1010,408
970,413
867,416
709,418
583,428
528,438
511,449
507,462
526,480
572,510
677,573
741,610
824,652
887,678
932,686
964,684
984,675
992,661
983,636
951,598
908,554
848,499
805,470
774,461
730,462
688,475
669,486
655,510
662,549
695,595
752,629
871,648
947,647
1012,632
1046,608
1069,569
1074,540
1065,496
1029,449
921,389
833,363
785,365
760,382
747,398
743,421
757,444
790,466
863,500
932,526
1005,543
1051,540
1076,526
1085,509
1084,480
1068,443
1033,398
995,376
943,373
897,387
865,421
855,460
880,541
943,634
995,677
1042,699
1080,711
1109,719
1124,720
1126,720
1126,720
1126,720
1126,720
1126,720
1126,720
1126,720
1126,720
1126,720
1145,732
1171,759
1197,790
1221,827
1238,859
1252,888
1261,905
1264,912
1265,914
1265,915
1265,915
1265,915
1265,915
1265,915
1265,915
1265,915
1265,915
1265,915
1265,915
1265,915
1265,915
1265,915
1265,915
1265,915
1265,915
1265,915
1264,924
1261,939
1258,955
1255,966
1251,980
1248,988
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1245,993
1249,993
1266,993
1284,993
1303,994
1319,994
1332,994
1341,993
1345,993
1348,994
1351,995
1352,996
1353,996
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
1354,997
